index,company_id,company_name,total,handled,valuable,ICP,domain,institution
1989,武汉佳网科技有限公司,https://www.butian.net/Company/28068,2,2,0,鄂ICP备14008219号-6,www.jw100vip.com,企业
1990,南京雨润云中央电子商务有限公司,https://www.butian.net/Company/4495,27,0,0,N/A,N/A,N/A
1991,DBShop,https://www.butian.net/Company/4494,15,15,1,N/A,N/A,N/A
1992,上海明数数字出版科技有限公司,https://www.butian.net/Company/4490,0,0,0,N/A,N/A,N/A
1993,上海联劝公益基金会,https://www.butian.net/Company/4511,1,0,0,沪ICP备10030362号-2,www.wisegiving.cn,基金会
1994,广州找本书信息科技有限公司,https://www.butian.net/Company/4489,4,0,0,粤ICP备15084965号-2,www.zbs1.cn,企业
1995,苏州大学应用技术学院,https://www.butian.net/Company/4493,2,1,0,N/A,N/A,N/A
1996,天津渤海商品交易所股份有限公司,https://www.butian.net/Company/4492,20,0,0,津ICP备09013144号-2,www.boceworld.com,企业
1997,杭州九言科技股份有限公司,https://www.butian.net/Company/28117,3,0,0,浙ICP备11004883号-7,www.shiguangmiao.com,企业
1998,湖北大学知行学院,https://www.butian.net/Company/4487,6,1,0,鄂ICP备19016608号-2,www.hudazx.edu.cn,事业单位
1999,北方民族大学,https://www.butian.net/Company/4488,27,7,0,宁ICP备17000722号-1,www.nmu.edu.cn,事业单位
2000,卡拉丁,https://www.butian.net/Company/28116,15,3,0,N/A,N/A,N/A
2001,东华理工大学,https://www.butian.net/Company/4485,30,0,0,赣ICP备11000994号-2,www.ecut.edu.cn,事业单位
2002,中移铁通甘肃分公司,https://www.butian.net/Company/4479,0,0,0,N/A,N/A,N/A
2003,深圳走秀网络科技有限公司,https://www.butian.net/Company/4478,16,0,0,粤ICP备07502993号-5,www.xiu.com,企业
2004,中共西安市委办公厅,https://www.butian.net/Company/4475,0,0,0,N/A,N/A,N/A
2005,北京一猫汽车科技有限公司,https://www.butian.net/Company/4477,29,1,0,京ICP备14010468号-12,www.emao.net,企业
2006,潜江市教育局,https://www.butian.net/Company/4471,3,0,0,N/A,N/A,N/A
2007,曲美家具集团,https://www.butian.net/Company/4484,27,0,0,N/A,N/A,N/A
2008,北京乐学一百在线教育科技有限公司,https://www.butian.net/Company/28022,27,21,1,京ICP备12032589号-11,www.lexue100.net,企业
